ISS,Funding, Requirement,Funding, Requirement,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements
251,0,0,14198,3069,5047,5317,6044,6070,8685,10344,8948,8902,9619,9188,9032,9319,19152,19703,13925,0,14201,0,14481,0,14785,0
251,0,90,78,93,134,81,88,88,145,180,570,160,313,160,158,165,4316,4316,4282,0,4361,0,4441,0,4513,0
251,0,0,0,0,63,0,0,0,48,0,0,73,14,72,67,74,48,48,49,0,50,0,51,0,52,0
251,0,0,0,0,73,0,0,0,10,0,0,14,273,14,12,15,10,10,10,0,10,0,10,0,10,0
251,0,0,0,0,3,0,0,0,6,0,0,10,0,10,9,10,6,6,7,0,7,0,7,0,7,0
251,0,0,0,0,3,0,0,0,2,0,0,3,2,3,3,3,2,2,2,0,2,0,2,0,2,0
251,0,0,0,0,17,0,0,0,44,0,0,61,0,60,52,61,38,40,40,0,41,0,42,0,42,0
251,0,0,0,0,23,0,0,0,13,0,46,15,42,15,12,15,10,10,10,0,10,0,10,0,11,0
251,0,0,0,0,21,0,0,0,32,0,0,46,16,47,44,49,33,33,34,0,34,0,35,0,36,0
251,0,0,0,0,26,0,0,0,10,0,0,14,67,11,11,13,9,9,9,0,9,0,9,0,9,0
251,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,107,78,59,79,82,82,121,168,169,172,135,174,175,176,177,179,89,0,91,0,93,0,95,0
251,0,0,222848,264144,193152,200625,205544,145940,287884,333872,150888,329706,294835,344293,306340,350671,324685,362404,167900,0,172239,0,175485,0,179353,0
251,0,0,202,14039,25016,26391,33405,34317,57536,69522,52302,74054,51102,76016,72275,77371,59427,64600,26886,0,27425,0,27973,0,28530,0
251,0,0,61,21,20,21,22,22,23,46,23,46,25,48,24,24,24,25,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,54,0,56,57,57,30,30,31,0,32,0,33,0,34,0
251,0,0,362,362,243,367,349,358,331,662,339,339,347,347,354,354,373,413,0,0,0,0,0,0,0,0
251,0,0,117,57,68,57,57,57,57,114,58,116,59,118,60,60,61,61,0,0,0,0,0,0,0,0
251,0,0,80,1,0,0,0,0,262,0,269,285,286,291,291,297,292,308,308,0,314,0,320,0,326,0
251,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,1750,1568,1960,2127,971,1161,989,2326,1012,1186,1036,1208,913,1229,929,1283,0,0,0,0,0,0,0,0
251,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,84,84,87,88,87,88,202,180,217,183,208,189,193,193,201,201,107,0,107,0,109,0,112,0
251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1074,57,-2121,111,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-231,12,-547,31,0,0,0,0,0,0,0,0
252,0,0,117,118,116,117,117,194,442,382,449,388,454,395,238,556,244,575,124,0,127,0,129,0,132,0
252,0,0,16342,13068,6963,9121,13888,13888,29782,29782,28984,31596,23402,33240,34194,35160,36193,36674,18703,0,18703,0,18703,0,19077,0
252,0,0,8051,18210,14139,18945,14119,14119,27671,29188,26975,29684,29215,30188,30704,30704,31100,31226,15925,0,15925,0,15925,0,16244,0
252,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,523253,391912,527008,410759,386274,395557,412951,831340,426700,805007,823591,857930,794644,798296,809651,808442,350626,0,344377,0,344861,0,351826,0
252,0,0,140,135924,28,138867,125271,125271,580517,259334,177995,228009,133614,260318,227483,262322,259831,264722,118161,0,117085,0,117114,0,119475,0
252,0,0,189,12337,10217,10844,8048,8439,20511,26160,22573,27183,16908,28448,31123,29395,27444,27444,12435,0,12684,0,12937,0,13195,0
252,0,0,0,6900,6365,6755,13108,13108,18844,23970,20466,24352,14862,25003,21772,25835,21262,21262,8510,0,8679,0,8853,0,9030,0
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,718,718,1989,0,1087,0,1126,0,1155,0
252,0,0,2352,1826,2399,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,369,868,290,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32800,35800,33990,35779,33950,35737,33911,35696
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,950,695,948,788,948,803,947
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,181,184,184,187,187,190,190
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,946,879,945,907,945,907,945
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46377,48427,45636,49106,46059,49552,46545,50062
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,503,501,501,501,501,501,501
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,1480,1398,1479,1396,1477,1393,1474
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2039,3291,2070,3295,2107,3302,3285,3285
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125246,137252,131055,137953,131480,138400,131938,138882
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6002,6002,5982,5982,5987,5987,5981,5981
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207,3394,3210,3391,3199,3385,3196,3382
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66329,73568,70202,73897,70340,74042,70499,74210
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5236,5302,4601,5288,4739,5292,4773,5288
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,1000,950,1000,945,1000,945,1000
